country_name,Density(P/Km2),Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Country name,Happiness Score,Social support,Freedom to make life choices,Generosity,Perceptions of corruption
Indonesia,151,18.07,563325.0,0.03,2.31,1119190780753.0,21.1,71.5,177.0,0.48,0.483,0.43,270203917.0,0.102,0.301,0.0469,151509724.0,-0.789275,113.921327,Indonesia,5.345,0.811,0.873,0.542,0.867
China,153,10.9,9893038.0,0.029,1.69,19910000000000.0,7.4,77.0,29.0,0.87,0.324,1.98,1397715000.0,0.094,0.592,0.0432,842933962.0,35.86166,104.195397,China,5.339,0.811,0.904,-0.146,0.755
Ivory Coast,83,35.74,9674.0,-0.009,4.65,58792205642.0,59.4,57.4,617.0,0.36,0.36,0.23,25716544.0,0.118,0.501,0.0332,13176900.0,7.539989,-5.54708,Ivory Coast,5.306,0.644,0.741,-0.016,0.794
Armenia,104,13.99,5156.0,0.014,1.76,13672802158.0,11.0,74.9,26.0,0.66,0.816,4.4,2957731.0,0.209,0.226,0.1699,1869848.0,40.069099,45.038189,Armenia,5.283,0.799,0.825,-0.168,0.629
Nepal,203,19.89,9105.0,0.056,1.92,30641380604.0,26.7,70.5,186.0,0.36,0.604,0.75,28608710.0,0.207,0.418,0.0141,5765513.0,28.394857,84.124008,Nepal,5.269,0.774,0.782,0.152,0.727
Bulgaria,64,8.9,41708.0,0.031,1.56,86000000000.0,5.9,74.9,10.0,1.57,0.477,4.03,6975761.0,0.202,0.283,0.0434,5256027.0,42.733883,25.48583,Bulgaria,5.266,0.931,0.788,-0.096,0.932
Maldives,1802,14.2,1445.0,0.002,1.87,5729248472.0,7.4,78.6,53.0,,0.164,4.56,530953.0,0.195,0.302,0.0614,213645.0,3.202778,73.22068,Maldives,5.198,0.913,0.854,0.024,0.825
Azerbaijan,123,14.0,37620.0,0.026,1.73,39207000000.0,19.2,72.9,26.0,0.47,0.786,3.45,10023318.0,0.13,0.407,0.0551,5616165.0,40.143105,47.576927,Azerbaijan,5.171,0.836,0.814,-0.223,0.506
Cameroon,56,35.39,8291.0,0.025,4.57,38760467033.0,50.6,58.9,529.0,0.35,0.697,0.09,25876380.0,0.128,0.577,0.0338,14741256.0,7.369722,12.354722,Cameroon,5.142,0.71,0.731,0.026,0.848
Senegal,87,34.52,10902.0,0.018,4.63,23578084052.0,31.8,67.7,315.0,0.31,0.442,0.07,16296364.0,0.163,0.448,0.066,7765706.0,14.497401,-14.452362,Senegal,5.132,0.71,0.695,-0.046,0.801
Albania,105,11.78,4536.0,0.014,1.62,15278077447.0,7.8,78.5,15.0,1.12,0.569,1.2,2854191.0,0.186,0.366,0.1233,1747593.0,41.153332,20.168331,Albania,5.117,0.697,0.785,-0.03,0.901
North Macedonia,83,,,,,10220781069.0,,,,,0.356,,1836713.0,,,,,41.608635,21.745275,North Macedonia,5.101,0.805,0.751,0.038,0.905
